01-03-2020,Afghanistan,1,0,0
01-03-2020,Albania,0,0,0
01-03-2020,Algeria,1,0,0
01-03-2020,Andorra,0,0,0
01-03-2020,Angola,0,0,0
01-03-2020,Antigua and Barbuda,0,0,0
01-03-2020,Argentina,0,0,0
01-03-2020,Armenia,1,0,0
01-03-2020,Australia,27,1,11
01-03-2020,Austria,14,0,0
01-03-2020,Azerbaijan,3,0,0
01-03-2020,Bahamas,0,0,0
01-03-2020,Bahrain,47,0,0
01-03-2020,Bangladesh,0,0,0
01-03-2020,Barbados,0,0,0
01-03-2020,Belarus,1,0,0
01-03-2020,Belgium,2,0,1
01-03-2020,Belize,0,0,0
01-03-2020,Benin,0,0,0
01-03-2020,Bhutan,0,0,0
01-03-2020,Bolivia,0,0,0
01-03-2020,Bosnia and Herzegovina,0,0,0
01-03-2020,Botswana,0,0,0
01-03-2020,Brazil,2,0,0
01-03-2020,Brunei,0,0,0
01-03-2020,Bulgaria,0,0,0
01-03-2020,Burkina Faso,0,0,0
01-03-2020,Burma,0,0,0
01-03-2020,Burundi,0,0,0
01-03-2020,Cabo Verde,0,0,0
01-03-2020,Cambodia,1,0,1
01-03-2020,Cameroon,0,0,0
01-03-2020,Canada,24,0,0
01-03-2020,Central African Republic,0,0,0
01-03-2020,Chad,0,0,0
01-03-2020,Chile,9,0,0
01-03-2020,China,79932,2872,40670
01-03-2020,Colombia,0,0,0
01-03-2020,Comoros,0,0,0
01-03-2020,Congo (Brazzaville),0,0,0
01-03-2020,Congo (Kinshasa),0,0,0
01-03-2020,Costa Rica,0,0,0
01-03-2020,Cote d'Ivoire,0,0,0
01-03-2020,Croatia,7,0,0
01-03-2020,Cuba,0,0,0
01-03-2020,Cyprus,0,0,0
01-03-2020,Czechia,3,0,0
01-03-2020,Denmark,4,0,0
01-03-2020,Djibouti,0,0,0
01-03-2020,Dominica,0,0,0
01-03-2020,Dominican Republic,1,0,0
01-03-2020,Ecuador,6,0,0
01-03-2020,Egypt,2,0,1
01-03-2020,El Salvador,0,0,0
01-03-2020,Equatorial Guinea,0,0,0
